Wavelength (nm)	Intensity  (1 mm of glass)
1000.0	6.9000
999.00	6.9000
998.00	6.9000
997.00	6.8000
996.00	6.8000
995.00	6.7000
994.00	6.7000
993.00	6.6000
992.00	6.6000
991.00	6.5000
990.00	6.5000
989.00	6.4000
988.00	6.4000
987.00	6.3000
986.00	6.3000
985.00	6.3000
984.00	6.2000
983.00	6.2000
982.00	6.1000
981.00	6.1000
980.00	6.0000
979.00	6.0000
978.00	5.9000
977.00	5.9000
976.00	5.8000
975.00	5.8000
974.00	5.8000
973.00	5.7000
972.00	5.7000
971.00	5.6000
970.00	5.6000
969.00	5.5000
968.00	5.5000
967.00	5.4000
966.00	5.4000
965.00	5.4000
964.00	5.3000
963.00	5.3000
962.00	5.2000
961.00	5.2000
960.00	5.2000
959.00	5.1000
958.00	5.1000
957.00	5.0000
956.00	5.0000
955.00	5.0000
954.00	4.9000
953.00	4.9000
952.00	4.8000
951.00	4.8000
950.00	4.8000
949.00	4.7000
948.00	4.7000
947.00	4.7000
946.00	4.6000
945.00	4.6000
944.00	4.5000
943.00	4.5000
942.00	4.5000
941.00	4.4000
940.00	4.4000
939.00	4.4000
938.00	4.3000
937.00	4.3000
936.00	4.3000
935.00	4.2000
934.00	4.2000
933.00	4.2000
932.00	4.2000
931.00	4.1000
930.00	4.1000
929.00	4.1000
928.00	4.0000
927.00	4.0000
926.00	4.0000
925.00	3.9000
924.00	3.9000
923.00	3.9000
922.00	3.8000
921.00	3.8000
920.00	3.8000
919.00	3.8000
918.00	3.7000
917.00	3.7000
916.00	3.7000
915.00	3.6000
914.00	3.6000
913.00	3.6000
912.00	3.6000
911.00	3.5000
910.00	3.5000
909.00	3.5000
908.00	3.5000
907.00	3.4000
906.00	3.4000
905.00	3.4000
904.00	3.3000
903.00	3.3000
902.00	3.3000
901.00	3.3000
900.00	3.3000
899.00	3.2000
898.00	3.2000
897.00	3.2000
896.00	3.2000
895.00	3.1000
894.00	3.1000
893.00	3.1000
892.00	3.1000
891.00	3.1000
890.00	3.0000
889.00	3.0000
888.00	3.0000
887.00	3.0000
886.00	3.0000
885.00	2.9000
884.00	2.9000
883.00	2.9000
882.00	2.9000
881.00	2.9000
880.00	2.8000
879.00	2.8000
878.00	2.8000
877.00	2.8000
876.00	2.8000
875.00	2.8000
874.00	2.7000
873.00	2.7000
872.00	2.7000
871.00	2.7000
870.00	2.7000
869.00	2.6000
868.00	2.6000
867.00	2.6000
866.00	2.6000
865.00	2.6000
864.00	2.6000
863.00	2.6000
862.00	2.5000
861.00	2.5000
860.00	2.5000
859.00	2.5000
858.00	2.5000
857.00	2.5000
856.00	2.5000
855.00	2.4000
854.00	2.4000
853.00	2.4000
852.00	2.4000
851.00	2.4000
850.00	2.4000
849.00	2.4000
848.00	2.4000
847.00	2.4000
846.00	2.3000
845.00	2.3000
844.00	2.3000
843.00	2.3000
842.00	2.3000
841.00	2.3000
840.00	2.3000
839.00	2.3000
838.00	2.3000
837.00	2.2000
836.00	2.2000
835.00	2.2000
834.00	2.2000
833.00	2.2000
832.00	2.2000
831.00	2.2000
830.00	2.2000
829.00	2.2000
828.00	2.2000
827.00	2.2000
826.00	2.2000
825.00	2.2000
824.00	2.2000
823.00	2.2000
822.00	2.1000
821.00	2.1000
820.00	2.1000
819.00	2.1000
818.00	2.1000
817.00	2.1000
816.00	2.1000
815.00	2.1000
814.00	2.1000
813.00	2.1000
812.00	2.1000
811.00	2.1000
810.00	2.1000
809.00	2.1000
808.00	2.1000
807.00	2.1000
806.00	2.1000
805.00	2.1000
804.00	2.1000
803.00	2.1000
802.00	2.1000
801.00	2.1000
800.00	2.1000
799.00	2.1000
798.00	2.1000
797.00	2.1000
796.00	2.1000
795.00	2.1000
794.00	2.1000
793.00	2.1000
792.00	2.1000
791.00	2.1000
790.00	2.1000
789.00	2.1000
788.00	2.1000
787.00	2.1000
786.00	2.1000
785.00	2.1000
784.00	2.1000
783.00	2.1000
782.00	2.1000
781.00	2.1000
780.00	2.1000
779.00	2.1000
778.00	2.1000
777.00	2.1000
776.00	2.1000
775.00	2.1000
774.00	2.1000
773.00	2.1000
772.00	2.1000
771.00	2.1000
770.00	2.1000
769.00	2.1000
768.00	2.2000
767.00	2.2000
766.00	2.2000
765.00	2.2000
764.00	2.2000
763.00	2.2000
762.00	2.2000
761.00	2.2000
760.00	2.2000
759.00	2.2000
758.00	2.2000
757.00	2.2000
756.00	2.3000
755.00	2.3000
754.00	2.3000
753.00	2.3000
752.00	2.3000
751.00	2.3000
750.00	2.3000
749.00	2.3000
748.00	2.4000
747.00	2.4000
746.00	2.4000
745.00	2.4000
744.00	2.4000
743.00	2.4000
742.00	2.4000
741.00	2.5000
740.00	2.5000
739.00	2.5000
738.00	2.5000
737.00	2.6000
736.00	2.6000
735.00	2.6000
734.00	2.6000
733.00	2.6000
732.00	2.7000
731.00	2.7000
